Date,Temp_Anomaly_°C,CO2_in_ppm,Precip_in_mm,Nino34_in_°C,Volcanic_Global,TSI_Wm2
1958-03-01,0.09,314.44,53.27886,0.99,0.0003,1361.8557
1958-04-01,0.01,315.16,54.33253,0.31,0.0,1362.2704
1958-05-01,0.06,314.69,55.99922,0.32,0.0003,1362.5632
1958-06-01,-0.08,315.15,61.682705,0.3,0.0003,1362.5243
1958-07-01,0.05,315.2,75.32862,0.04,0.0,1362.0953
1958-08-01,-0.05,316.21,76.071335,0.24,0.0002,1362.4133
1958-09-01,-0.02,316.11,66.288895,-0.31,0.0002,1362.3784
1958-10-01,0.04,315.41,59.63466,-0.03,0.0,1362.6594
1958-11-01,0.02,315.21,52.91635,0.05,0.0002,1362.6675
1958-12-01,0.01,315.43,57.8109,0.3,0.0002,1362.1056
1959-01-01,0.08,315.52,58.68004,0.43,0.0,1361.8129
1959-02-01,0.07,315.84,51.379402,0.5,0.0002,1362.6514
1959-03-01,0.18,315.37,57.69603,0.26,0.0002,1361.9777
1959-04-01,0.16,315.42,55.005527,0.27,0.0,1362.3389
1959-05-01,0.04,315.46,57.75117,-0.01,0.0002,1362.1609
1959-06-01,0.03,316.0,64.157936,-0.33,0.0002,1362.096
1959-07-01,0.03,315.87,76.70495,-0.28,0.0,1362.1787
1959-08-01,-0.01,316.09,77.13775,-0.41,0.0002,1361.8456
1959-09-01,-0.06,316.75,68.893105,-0.53,0.0002,1362.2888
1959-10-01,-0.07,316.34,61.235374,0.11,0.0,1362.2427
1959-11-01,-0.08,316.69,55.383156,-0.17,0.0002,1361.8425
1959-12-01,0.0,316.35,56.322723,-0.05,0.0002,1361.776
1960-01-01,0.0,316.38,57.36336,0.02,0.0,1361.96
1960-02-01,0.13,316.33,55.69944,-0.24,0.0002,1362.1581
1960-03-01,-0.35,316.27,57.03735,-0.08,0.0002,1362.0981
1960-04-01,-0.15,316.7,51.892113,0.01,0.0,1361.8293
1960-05-01,-0.08,317.19,56.63498,0.05,0.0015,1361.8043
1960-06-01,-0.04,317.45,64.37699,-0.2,0.0034999999999999996,1362.118
1960-07-01,-0.04,317.54,78.30461,-0.25,0.0,1361.8435
1960-08-01,0.02,317.22,75.602,-0.0,0.00635,1361.7975
1960-09-01,0.07,317.1,67.094734,0.03,0.0084,1362.1191
1960-10-01,0.06,316.85,60.616817,-0.07,0.0,1361.9889
1960-11-01,-0.11,316.89,55.35215,-0.38,0.0084,1361.7393
1960-12-01,0.19,316.96,56.844234,0.02,0.0084,1361.8734
1961-01-01,0.07,316.84,56.14833,-0.15,0.0,1361.7827
1961-02-01,0.19,317.05,52.84052,0.04,0.008199999999999999,1361.7361
1961-03-01,0.09,317.25,55.976612,-0.1,0.0115,1361.5942
1961-04-01,0.13,317.16,56.206566,0.13,0.0,1361.5234
1961-05-01,0.12,317.73,55.84871,-0.01,0.0126,1361.581
1961-06-01,0.12,317.61,65.09,0.1,0.0114,1361.4086
1961-07-01,0.01,317.89,78.54532,-0.32,0.0,1361.3933
1961-08-01,0.01,318.09,75.86326,-0.25,0.01055,1361.684
1961-09-01,0.08,317.92,69.104195,-0.52,0.0118,1361.4077
1961-10-01,0.0,318.34,61.421223,-0.71,0.0,1361.6146
1961-11-01,0.03,318.0,60.37396,-0.19,0.0116,1361.5118
1961-12-01,-0.16,317.78,58.3579,-0.29,0.01075,1361.4519
1962-01-01,0.05,317.89,61.407307,-0.25,0.0,1361.3217
1962-02-01,0.15,317.89,49.567837,-0.16,0.00925,1361.306
1962-03-01,0.1,318.39,54.687294,-0.41,0.0138,1361.4727
1962-04-01,0.05,318.24,54.097797,-0.32,0.0,1361.4404
1962-05-01,-0.06,318.16,58.218597,-0.42,0.0151,1361.3961
1962-06-01,0.03,318.45,66.76283,-0.22,0.013649999999999999,1361.4811
1962-07-01,0.02,318.94,73.88476,-0.3,0.0,1361.42
1962-08-01,-0.01,318.71,75.21412,-0.13,0.014700000000000001,1361.3688
1962-09-01,0.0,319.18,67.29355,-0.56,0.0147,1361.181
1962-10-01,0.01,318.46,57.462288,-0.33,0.0,1361.3514
1962-11-01,0.06,318.59,54.158375,-0.43,0.0143,1361.3788
1962-12-01,-0.03,318.47,59.261265,-0.49,0.01295,1361.38
1963-01-01,-0.03,318.69,60.394848,-0.32,0.0,1361.3417
1963-02-01,0.18,318.41,54.340763,-0.26,0.012050000000000002,1361.3456
1963-03-01,-0.14,318.57,57.10731,-0.06,0.0123,1361.3553
1963-04-01,-0.07,319.05,54.024807,-0.06,0.0,1361.2782
1963-05-01,-0.06,319.38,57.08381,-0.0,0.0173,1361.2596
1963-06-01,0.05,319.31,63.545994,0.12,0.0404,1361.3296
